Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Color (product.metafields.shopify.color-pattern),Size (product.metafields.shopify.size),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
light-green-kurta-pajama-set,Light Green Kurta Pajama Set,"<ul>
<li>Light Green Kurta With White Pajama Set<br>
</li>
<li>Plain Kurta</li>
<li>Embroidery around neck</li>
<li>Non-itchy soft cloth</li>
</ul>
<p><meta charset=""utf-8"">Note: The colors might be slightly different because of lighting</p>",Kalyan Kreations,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,"","kurta, pajama, Pyjama, traditional",true,Size,"36""",,,,,,,,'590,0.0,shopify,deny,manual,45.00,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.26.54.jpg?v=1728623731,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,13.14,true,,,true,,,active
light-green-kurta-pajama-set,,,,,,,,,"38""",,,,,,,,'595,0.0,shopify,deny,manual,45.00,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.26.55_1.jpg?v=1728623731,2,"",,,,,,,,,,,,,,,,,,,,,,lb,,13.14,,,,,,,
light-green-kurta-pajama-set,,,,,,,,,"40""",,,,,,,,'598,0.0,shopify,deny,manual,45.00,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.26.55_2.jpg?v=1728623731,3,"",,,,,,,,,,,,,,,,,,,,,,lb,,13.14,,,,,,,
light-green-kurta-pajama-set,,,,,,,,,"42""",,,,,,,,'599,0.0,shopify,deny,manual,45.00,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.26.55_3.jpg?v=1728623731,4,"",,,,,,,,,,,,,,,,,,,,,,lb,,13.14,,,,,,,
light-green-kurta-pajama-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.26.55.jpg?v=1728623731,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multicolor-kurta-pajama-set-4,Multicolor Kurta Pajama Set,"<ul>
<li>Multicolor Kurta With White Pajama Set<br>
</li>
<li>Sequin</li>
<li>Non-itchy soft cloth</li>
</ul>
<p><meta charset=""utf-8"">Note: The colors might be slightly different because of lighting</p>",Kalyan Kreations,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,"","kurta, pajama, Pyjama, traditional",true,Size,"36""",,,,,,,,'552,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.17.04.jpg?v=1728623540,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,21.36,true,,,true,,,active
multicolor-kurta-pajama-set-4,,,,,,,,,"38""",,,,,,,,'558,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.17.05.jpg?v=1728623540,2,"",,,,,,,,,,,,,,,,,,,,,,lb,,21.36,,,,,,,
multicolor-kurta-pajama-set-4,,,,,,,,,"40""",,,,,,,,'576,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.17.05_4.jpg?v=1728623540,3,"",,,,,,,,,,,,,,,,,,,,,,lb,,21.36,,,,,,,
multicolor-kurta-pajama-set-4,,,,,,,,,"42""",,,,,,,,'577,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.17.05_1.jpg?v=1728623540,4,"",,,,,,,,,,,,,,,,,,,,,,lb,,21.36,,,,,,,
multicolor-kurta-pajama-set-4,,,,,,,,,"44""",,,,,,,,'588,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.17.05_2.jpg?v=1728623540,5,"",,,,,,,,,,,,,,,,,,,,,,lb,,21.36,,,,,,,
multicolor-kurta-pajama-set-4,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.17.05_3.jpg?v=1728623540,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dark-green-kurta-pajama-set,Dark Green Kurta Pajama Set,"<ul>
<li>Dark Green Kurta With White Pajama Set<br>
</li>
<li>Weave pattern</li>
<li>Non-itchy soft cloth</li>
</ul>
<p><meta charset=""utf-8"">Note: The colors might be slightly different because of lighting</p>",Kalyan Kreations,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,"","kurta, pajama, Pyjama, traditional",true,Size,"36""",,,,,,,,'546,0.0,shopify,deny,manual,57.00,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.11.02.jpg?v=1728623328,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,15.51,true,,,true,,,active
dark-green-kurta-pajama-set,,,,,,,,,"38""",,,,,,,,'547,0.0,shopify,deny,manual,57.00,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.11.02_1.jpg?v=1728623329,2,"",,,,,,,,,,,,,,,,,,,,,,lb,,15.51,,,,,,,
dark-green-kurta-pajama-set,,,,,,,,,"40""",,,,,,,,'548,0.0,shopify,deny,manual,57.00,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.11.03_1.jpg?v=1728623329,3,"",,,,,,,,,,,,,,,,,,,,,,lb,,15.51,,,,,,,
dark-green-kurta-pajama-set,,,,,,,,,"42""",,,,,,,,'550,0.0,shopify,deny,manual,57.00,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.11.03_2.jpg?v=1728623329,4,"",,,,,,,,,,,,,,,,,,,,,,lb,,15.51,,,,,,,
dark-green-kurta-pajama-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.11.03_3.jpg?v=1728623329,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dark-green-kurta-pajama-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.11.03.jpg?v=1728623329,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-blue-kurta-pajama-set-with-sequin,Royal Blue Kurta Pajama Set with Sequin,"<ul>
<li>Royal Blue Kurta With White Pajama Set</li>
<li>Sequin<br>
</li>
<li>Embroidery around neck</li>
<li>Non-itchy soft cloth</li>
</ul>
<p><meta charset=""utf-8"">Note: The colors might be slightly different because of lighting</p>",Kalyan Kreations,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,"","kurta, pajama, Pyjama, traditional",true,Size,"38""",,,,,,,,'544,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.05.11.jpg?v=1728623177,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,23.76,true,,,true,,,active
royal-blue-kurta-pajama-set-with-sequin,,,,,,,,,"40""",,,,,,,,'545,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.05.12_1.jpg?v=1728623177,2,"",,,,,,,,,,,,,,,,,,,,,,lb,,23.76,,,,,,,
royal-blue-kurta-pajama-set-with-sequin,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.05.12_2.jpg?v=1728623177,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-blue-kurta-pajama-set-with-sequin,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.05.12.jpg?v=1728623177,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-blue-kurta-pajama-set-with-sequin,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.05.13_1.jpg?v=1728623177,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-blue-kurta-pajama-set-with-sequin,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.05.13_2.jpg?v=1728623177,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-blue-kurta-pajama-set-with-sequin,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at20.05.13.jpg?v=1728623177,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-kurta-pajama-set-with-sequin,Purple Kurta Pajama Set with Sequin,"<ul>
<li>Purple Kurta With White Pajama Set</li>
<li>Sequin<br>
</li>
<li>Embroidery around neck</li>
<li>Non-itchy soft cloth</li>
</ul>
<p><meta charset=""utf-8"">Note: The colors might be slightly different because of lighting</p>",Kalyan Kreations,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,"","kurta, pajama, Pyjama, traditional",true,Size,"38""",,,,,,,,'534,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.48.48.jpg?v=1728623019,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,23.76,true,,,true,,,active
purple-kurta-pajama-set-with-sequin,,,,,,,,,"40""",,,,,,,,'535,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.48.48_1.jpg?v=1728623019,2,"",,,,,,,,,,,,,,,,,,,,,,lb,,23.76,,,,,,,
purple-kurta-pajama-set-with-sequin,,,,,,,,,"42""",,,,,,,,'543,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.48.48_2.jpg?v=1728623019,3,"",,,,,,,,,,,,,,,,,,,,,,lb,,23.76,,,,,,,
purple-kurta-pajama-set-with-sequin,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.48.48_3.jpg?v=1728623019,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-kurta-pajama-set-with-sequin,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.48.49_1.jpg?v=1728623019,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-kurta-pajama-set-with-sequin,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.48.49.jpg?v=1728623019,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemon-yellow-kurta-pajama-set,Lemon Yellow Kurta Pajama Set,"<ul>
<li>Lemon Yellow Kurta With White Pajama Set</li>
<li>Self print</li>
<li>Non-itchy soft cloth</li>
</ul>
<p><meta charset=""utf-8"">Note: The colors might be slightly different because of lighting</p>",Kalyan Kreations,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,"","kurta, pajama, Pyjama, traditional",true,Size,"36""",,,,,,,,'530,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.42.41.jpg?v=1728622855,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,14.21,true,,,true,,,active
lemon-yellow-kurta-pajama-set,,,,,,,,,"42""",,,,,,,,'533,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.42.41_1.jpg?v=1728622855,2,"",,,,,,,,,,,,,,,,,,,,,,lb,,14.21,,,,,,,
lemon-yellow-kurta-pajama-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.42.42_1.jpg?v=1728622855,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemon-yellow-kurta-pajama-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.42.42_2.jpg?v=1728622855,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemon-yellow-kurta-pajama-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.42.42_3.jpg?v=1728622855,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemon-yellow-kurta-pajama-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.42.42.jpg?v=1728622855,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dark-blue-kurta-pajama-set,Dark Blue Kurta Pajama Set,"<ul>
<li>Dark Blue Kurta With White Pajama Set</li>
<li>Self print</li>
<li>Non-itchy soft cloth</li>
</ul>
<p><meta charset=""utf-8"">Note: The colors might be slightly different because of lighting</p>",Kalyan Kreations,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,"","kurta, pajama, Pyjama, traditional",true,Size,"38""",,,,,,,,'523,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.35.58.jpg?v=1728622724,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,14.21,true,,,true,,,active
dark-blue-kurta-pajama-set,,,,,,,,,"42""",,,,,,,,'529,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.35.59_1.jpg?v=1728622724,2,"",,,,,,,,,,,,,,,,,,,,,,lb,,14.21,,,,,,,
dark-blue-kurta-pajama-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.35.59_2.jpg?v=1728622724,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dark-blue-kurta-pajama-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.35.59_3.jpg?v=1728622724,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dark-blue-kurta-pajama-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.36.00_1.jpg?v=1728622724,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dark-blue-kurta-pajama-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.36.00.jpg?v=1728622725,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
light-blue-kurta-pajama-set,Light Blue Kurta Pajama Set,"<ul>
<li>Light Blue Kurta With White Pajama Set</li>
<li>Self print</li>
<li>Non-itchy soft cloth</li>
</ul>
<p><meta charset=""utf-8"">Note: The colors might be slightly different because of lighting</p>",Kalyan Kreations,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,"","kurta, pajama, Pyjama, traditional",true,Size,"38""",,,,,,,,'498,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.33.21.jpg?v=1728622551,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,14.21,true,,,true,,,active
light-blue-kurta-pajama-set,,,,,,,,,"40""",,,,,,,,'501,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.33.21_1.jpg?v=1728622551,2,"",,,,,,,,,,,,,,,,,,,,,,lb,,14.21,,,,,,,
light-blue-kurta-pajama-set,,,,,,,,,"42""",,,,,,,,'520,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.33.21_2.jpg?v=1728622551,3,"",,,,,,,,,,,,,,,,,,,,,,lb,,14.21,,,,,,,
light-blue-kurta-pajama-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.33.22_1.jpg?v=1728622551,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
light-blue-kurta-pajama-set,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.33.22.jpg?v=1728622551,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-kurta-pajama-set-1,Blue Kurta Pajama Set,"<ul>
<li>Blue Kurta With White Pajama Set</li>
<li>Self print</li>
<li>Non-itchy soft cloth</li>
</ul>
<p><meta charset=""utf-8"">Note: The colors might be slightly different because of lighting</p>",Kalyan Kreations,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,"","kurta, pajama, Pyjama, traditional",true,Size,"36""",,,,,,,,'486,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.29.32.jpg?v=1728622265,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,21.36,true,,,true,,,active
blue-kurta-pajama-set-1,,,,,,,,,"38""",,,,,,,,'488,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.29.32_1.jpg?v=1728622265,2,"",,,,,,,,,,,,,,,,,,,,,,lb,,21.36,,,,,,,
blue-kurta-pajama-set-1,,,,,,,,,"40""",,,,,,,,'492,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.29.33_1.jpg?v=1728622266,3,"",,,,,,,,,,,,,,,,,,,,,,lb,,21.36,,,,,,,
blue-kurta-pajama-set-1,,,,,,,,,"42""",,,,,,,,'497,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.29.33_2.jpg?v=1728622266,4,"",,,,,,,,,,,,,,,,,,,,,,lb,,21.36,,,,,,,
blue-kurta-pajama-set-1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-09at19.29.33.jpg?v=1728622265,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
printed-kurta-pajama-set-3,Printed Kurta Pajama Set,"<ul>
<li>Printed Kurta With White Pajama Set</li>
<li>Cow and Door Design on Pink Base</li>
<li>Self print</li>
<li>Non-itchy soft cloth</li>
</ul>
<p><meta charset=""utf-8"">Note: The colors might be slightly different because of lighting</p>",Kalyan Kreations,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,"","kurta, pajama, Pyjama, traditional",true,Size,"36""",,,,,,,,'467,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-05at15.18.43.jpg?v=1728171323,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,21.81,true,,,true,,,active
printed-kurta-pajama-set-3,,,,,,,,,"38""",,,,,,,,'473,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-05at15.18.43_1.jpg?v=1728171323,2,"",,,,,,,,,,,,,,,,,,,,,,lb,,21.81,,,,,,,
printed-kurta-pajama-set-3,,,,,,,,,"40""",,,,,,,,'478,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-05at15.18.43_2.jpg?v=1728171323,3,"",,,,,,,,,,,,,,,,,,,,,,lb,,21.81,,,,,,,
printed-kurta-pajama-set-3,,,,,,,,,"42""",,,,,,,,'480,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-05at15.18.43_3.jpg?v=1728171323,4,"",,,,,,,,,,,,,,,,,,,,,,lb,,21.81,,,,,,,
printed-kurta-pajama-set-3,,,,,,,,,"44""",,,,,,,,'484,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-05at15.18.43_4.jpg?v=1728171323,5,"",,,,,,,,,,,,,,,,,,,,,,lb,,21.81,,,,,,,
printed-kurta-pajama-set-3,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-05at15.18.43_5.jpg?v=1728171323,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
printed-kurta-pajama-set-2,Printed Kurta Pajama Set,"<ul>
<li>Printed Kurta With White Pajama Set</li>
<li>Green Leaves Design</li>
<li>Self print</li>
<li>Non-itchy soft cloth</li>
</ul>
<p><meta charset=""utf-8"">Note: The colors might be slightly different because of lighting</p>",Kalyan Kreations,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,"","kurta, pajama, Pyjama, traditional",true,Size,"36""",,,,,,,,'459,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-05at15.15.34.jpg?v=1728171106,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,21.81,true,,,true,,,active
printed-kurta-pajama-set-2,,,,,,,,,"38""",,,,,,,,'462,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-05at15.15.34_1.jpg?v=1728171106,2,"",,,,,,,,,,,,,,,,,,,,,,lb,,21.81,,,,,,,
printed-kurta-pajama-set-2,,,,,,,,,"40""",,,,,,,,'464,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-05at15.15.35_1.jpg?v=1728171106,3,"",,,,,,,,,,,,,,,,,,,,,,lb,,21.81,,,,,,,
printed-kurta-pajama-set-2,,,,,,,,,"42""",,,,,,,,'465,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-05at15.15.35.jpg?v=1728171106,4,"",,,,,,,,,,,,,,,,,,,,,,lb,,21.81,,,,,,,
printed-kurta-pajama-set-2,,,,,,,,,"44""",,,,,,,,'466,0.0,shopify,deny,manual,62.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,lb,,21.81,,,,,,,
printed-kurta-pajama-set-1,Printed Kurta Pajama Set,"<ul>
<li>Printed Kurta With White Pajama Set</li>
<li>Pink and Orange Printed Design</li>
<li>Self print</li>
<li>Non-itchy soft cloth</li>
</ul>
<p><meta charset=""utf-8"">Note: The colors might be slightly different because of lighting</p>",Kalyan Kreations,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,"","kurta, pajama, Pyjama, traditional",true,Size,"36""",,,,,,,,'659,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-05at15.13.20.jpg?v=1728170943,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,21.83,true,,,true,,,active
printed-kurta-pajama-set-1,,,,,,,,,"38""",,,,,,,,'449,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-05at15.13.20_1.jpg?v=1728170943,2,"",,,,,,,,,,,,,,,,,,,,,,lb,,21.81,,,,,,,
printed-kurta-pajama-set-1,,,,,,,,,"42""",,,,,,,,'453,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-05at15.13.20_2.jpg?v=1728170943,3,"",,,,,,,,,,,,,,,,,,,,,,lb,,21.81,,,,,,,
printed-kurta-pajama-set-1,,,,,,,,,"44""",,,,,,,,'660,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-05at15.13.21.jpg?v=1728170943,4,"",,,,,,,,,,,,,,,,,,,,,,lb,,21.83,,,,,,,
printed-kurta-pajama-set,Printed Kurta Pajama Set,"<ul>
<li>Printed Kurta With White Pajama Set</li>
<li>White Base</li>
<li>Self print</li>
<li>Non-itchy soft cloth</li>
</ul>
<p><meta charset=""utf-8"">Note: The colors might be slightly different because of lighting</p>",Kalyan Kreations,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,"","kurta, pajama, Pyjama, traditional",true,Size,"36""",,,,,,,,'433,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-05at14.58.05.jpg?v=1728170650,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,21.81,true,,,true,,,active
printed-kurta-pajama-set,,,,,,,,,"38""",,,,,,,,'896,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-05at14.58.05_1.jpg?v=1728170650,2,"",,,,,,,,,,,,,,,,,,,,,,lb,,20.21,,,,,,,
printed-kurta-pajama-set,,,,,,,,,"40""",,,,,,,,'439,0.0,shopify,deny,manual,62.50,,true,true,"",https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2024-10-05at14.58.05_2.jpg?v=1728170650,3,"",,,,,,,,,,,,,,,,,,,,,,lb,,20.21,,,,,,,
